"title_id","group","title","image","options"
1,NULL,"我有能力克服各种困难",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
2,NULL,"如果我能到一个新的环境，我要把生活安排得：",NULL,"[{""id"": 1, ""name"": ""\u548c\u4ece\u524d\u76f8\u4eff"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u548c\u4ece\u524d\u4e0d\u4e00\u6837"", ""mark"": ""0""}]"
3,NULL,"一生中，我觉得自已能达到我所预想的目标",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u662f\u7684"", ""mark"": ""0""}]"
4,NULL,"不知为什么，有些人总是回避或冷淡我",NULL,"[{""id"": 1, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u662f\u7684"", ""mark"": ""0""}]"
5,NULL,"在大街上，我常常避开我不愿打招呼的人",NULL,"[{""id"": 1, ""name"": ""\u4ece\u672a\u5982\u6b64"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u5076\u5c14\u5982\u6b64"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u6709\u65f6\u5982\u6b64"", ""mark"": ""0""}]"
6,NULL,"当我集中精力工作时，假使有人在旁边高谈阔论",NULL,"[{""id"": 1, ""name"": ""\u6211\u4ecd\u80fd\u4e13\u5fc3\u5de5\u4f5c"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u6211\u4e0d\u80fd\u4e13\u5fc3\u4e14\u611f\u5230\u6124\u6012"", ""mark"": ""0""}]"
7,NULL,"我不论到什么地方，都能清楚地辨别方向",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
8,NULL,"我热爱所学的专业和所从事的工作",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4e0d\u4e00\u5b9a"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
9,NULL,"气候的变化不会影响我的情绪",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""6""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""3""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
10,NULL,"我从不因流言蜚语而生气",NULL,"[{""id"": 1, ""name"": ""\u662f\u7684"", ""mark"": ""5""}, {""id"": 2, ""name"": ""\u4ecb\u4e8e1\u30013\u4e4b\u95f4"", ""mark"": ""2""}, {""id"": 3, ""name"": ""\u4e0d\u662f\u7684"", ""mark"": ""0""}]"
